,matchId,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueEliteMonsters,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redEliteMonsters,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,bluewins
0,EUW1_6141876911,8,3,0,9,16,14,0,0,0,0,15932,6.0,14153,155,36,5798,4030,17.216451522730342,1769.6290687750957,14,2,1,16,9,25,1,0,1,0,21730,6.8,18183,218,68,-5798,-4030,24.214106012614288,2413.635429606002,0
1,EUW1_6141774105,12,4,1,7,4,8,0,0,0,0,16320,6.6,16541,195,44,-2247,-1113,21.660569617441016,1812.8230572135249,19,1,0,4,7,2,0,0,0,0,14073,6.2,15428,182,47,2247,1113,20.216531642944947,1563.2266473140892,0
2,EUW1_6140036727,15,0,1,10,7,12,0,0,0,0,17066,6.4,15079,161,39,-2171,-284,17.882199621623023,1895.5131598920404,11,2,0,7,10,5,0,0,0,0,14895,6.2,14795,174,36,2171,284,19.32610393889693,1654.3811389072976,1
3,EUW1_6139994071,13,1,1,3,7,2,0,0,0,0,13647,6.2,14727,177,46,1822,2162,19.659349020086967,1515.7691303792478,11,2,0,7,3,9,1,0,1,0,15469,6.6,16889,196,56,-1822,-2162,21.769674621113253,1718.138248540821,0
4,EUW1_6139025965,13,3,1,6,5,5,0,0,0,0,15216,6.8,17686,189,56,-1335,-2120,20.994945661229703,1690.2597522818578,25,1,0,5,6,5,0,0,0,0,13881,6.4,15566,163,44,1335,2120,18.106752078203392,1541.9621202303147,1
5,EUW1_6138626500,14,4,0,5,5,6,0,0,0,0,14080,6.2,14537,165,45,538,19,18.32739390012496,1563.9376128106633,14,2,1,5,5,5,0,1,1,0,14618,6.0,14556,170,51,-538,-19,18.882769472856022,1623.6960244365252,1
6,EUW1_6138566277,18,6,1,4,2,5,0,0,0,0,15160,6.4,15519,211,51,-2380,-1358,23.437847124513098,1683.970437950799,16,3,0,2,4,3,0,0,0,0,12780,6.0,14161,164,54,2380,1358,18.217094447488854,1419.6004087738265,0
7,EUW1_6138361803,12,0,0,4,4,5,0,0,0,0,13777,6.4,15356,169,41,797,419,18.772945482551712,1530.3838456397334,13,1,1,4,4,1,0,0,0,0,14574,6.6,15775,181,52,-797,-419,20.105935694330533,1618.9166122053766,1
8,EUW1_6134398598,12,2,0,8,7,11,0,0,0,0,16837,6.4,16275,194,52,-353,367,21.54825309200771,1870.144006753267,13,4,1,7,8,6,0,0,0,0,16484,6.6,16642,178,60,353,-367,19.771077579264805,1830.9350720033767,0
9,EUW1_6132354173,15,1,0,6,4,7,0,1,1,0,15525,6.4,15893,201,44,-1545,-1759,22.325808708916625,1724.4188069946797,10,1,1,4,6,6,1,0,1,0,13980,6.2,14134,168,55,1545,1759,18.660377428348223,1552.8099788589773,1
10,EUW1_6132221171,16,0,1,11,5,9,0,0,0,0,16827,6.6,16688,166,50,-2259,-808,18.437547435959143,1868.9675343667739,9,2,0,5,11,3,0,0,0,0,14568,6.4,15880,189,46,2259,808,20.992147381905287,1618.0613918497154,1
11,EUW1_6132178494,29,1,0,5,5,7,0,1,1,0,15547,6.6,15611,200,52,31,2032,22.216462398637393,1726.9967045580777,10,3,1,5,5,2,0,0,0,0,15578,6.8,17643,215,67,-31,-2032,23.882697078535198,1730.4402562298665,0
12,EUW1_6132234595,13,4,0,4,7,4,0,0,0,0,15167,6.6,15632,190,52,-339,-942,21.104193625422777,1684.6700248251962,16,1,1,7,4,11,0,0,0,0,14828,6.0,14690,163,44,339,942,18.105176636546908,1647.0157004093103,1
13,EUW1_6131443233,12,3,1,6,3,5,1,0,1,0,15082,6.4,15913,209,52,-1299,-90,23.213237839428814,1675.129440642418,14,2,0,3,6,4,0,0,0,0,13783,6.4,15823,190,48,1299,90,21.10294349038983,1530.8519480423317,1
14,EUW1_6131408026,11,2,1,8,5,10,0,0,0,0,16045,6.8,16728,187,32,-1473,-973,20.771200231037948,1782.2134101978818,15,0,0,5,8,2,1,0,1,0,14572,6.2,15755,167,48,1473,973,18.549681489750466,1618.5985549020588,1
15,EUW1_6131363587,12,1,1,5,8,8,0,0,0,0,15674,6.2,15502,203,66,909,1163,22.549208370977055,1741.0654778654896,13,4,0,8,5,14,1,0,1,0,16583,6.6,16665,219,44,-909,-1163,24.32648587804914,1842.0370562360224,0
16,EUW1_6131029641,16,2,0,5,8,5,0,0,0,0,14573,6.4,15824,182,47,2869,1422,20.21641936110931,1618.7575788431097,12,1,1,8,5,10,0,0,0,0,17442,7.0,17246,196,67,-2869,-1422,21.771528542733105,1937.4438818487286,0
17,EUW1_6130958967,13,1,0,5,5,4,0,0,0,0,13726,6.2,14903,150,46,734,1011,16.66213086437581,1524.6960549628157,11,4,1,5,5,7,0,0,0,0,14460,6.6,15914,181,48,-734,-1011,20.105637909680144,1606.229415325828,1
18,EUW1_6129577419,12,1,0,11,3,8,1,0,1,0,17092,7.2,18736,177,80,-3865,-4443,19.661168821311076,1898.5802118296551,51,0,1,3,11,3,0,0,0,0,13227,6.2,14293,170,48,3865,4443,18.88360847244567,1469.2558192061108,1
19,EUW1_6124230288,12,2,0,4,12,3,0,0,0,0,14645,6.6,16610,204,59,3545,971,22.658652217456417,1626.6468711992609,15,2,1,12,4,16,0,0,0,0,18190,6.8,17581,183,54,-3545,-971,20.32614390095355,2020.3964893898637,0
20,EUW1_6108975227,13,3,1,7,2,7,0,0,0,0,15312,6.4,15584,197,48,-1807,-103,21.881149445288795,1700.7317782043756,16,2,0,2,7,1,1,0,1,0,13505,6.2,15481,219,52,1807,103,24.324729586387036,1500.0249911605338,1
21,EUW1_6108928996,18,2,0,6,6,3,0,0,0,0,14491,6.4,15628,187,44,795,349,20.77166167739499,1609.6371623910738,43,4,1,6,6,10,1,0,1,0,15286,6.4,15977,191,48,-795,-349,21.2159752961628,1697.9444941211757,0
22,EUW1_6107112664,11,1,0,3,9,3,0,0,0,0,14133,6.2,15525,207,44,2497,1371,22.991569757755492,1569.7577554896538,15,2,1,9,3,7,1,0,1,0,16630,6.8,16896,197,64,-2497,-1371,21.880865904723827,1847.100507591661,1
23,EUW1_6106132617,11,2,0,5,4,9,0,0,0,0,15827,6.6,16697,209,44,-536,-475,23.214870846454176,1757.9988559178482,33,3,1,4,5,8,0,0,0,0,15291,6.6,16222,206,60,536,475,22.881643035261057,1698.4621536513437,0
24,EUW1_6104706983,10,1,0,1,4,1,0,0,0,0,13724,6.4,16090,199,52,597,542,22.105993982874335,1524.535987040037,13,0,1,4,1,3,0,0,0,0,14321,6.6,16632,200,50,-597,-542,22.2170793797732,1590.85396898866,1
25,EUW1_6093881926,39,2,1,6,4,5,0,0,0,0,16624,6.8,17901,237,55,-3514,-3967,26.324412282504262,1846.4853577398771,12,17,0,4,6,4,0,0,0,0,13110,5.8,13934,162,20,3514,3967,17.9939020665219,1456.1731857537168,1
26,EUW1_6093225743,10,0,1,9,7,5,0,0,0,0,15968,6.4,14988,197,38,-928,409,21.88256725834759,1773.7098171639307,15,0,0,7,9,7,0,0,0,0,15040,6.2,15397,187,29,928,-409,20.771777042187814,1670.6284851043033,0
