,matchId,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueEliteMonsters,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redEliteMonsters,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,bluewins
0,EUN1_3248672003,12,2,0,3,5,4,0,0,0,0,13698,6.4,15337,175,48,848,513,19.439656529040068,1521.625229341662,27,1,1,5,3,3,0,0,0,0,14546,6.4,15850,171,42,-848,-513,18.99532152266201,1615.8242506938104,1
1,EUN1_3248652854,14,3,1,5,6,7,0,0,0,0,15363,6.4,15944,187,64,-255,-604,20.771084872652146,1706.4501438425395,13,1,0,6,5,7,1,0,1,0,15108,6.4,15340,192,51,255,604,21.326461473525196,1678.1259371980138,1
2,EUN1_3248637274,48,3,1,13,4,13,0,1,1,0,18849,6.6,17361,189,44,-5941,-3746,20.994790181695656,2093.8137573268855,31,1,0,4,13,2,0,0,0,0,12908,5.8,13615,162,36,5941,3746,17.99553444145342,1433.8664109276588,1
3,EUN1_3248526413,28,5,0,6,3,5,0,0,0,0,15589,6.6,16494,191,48,-2119,-1165,21.21613240643889,1731.6140737380936,14,3,1,3,6,1,0,0,0,0,13470,6.2,15329,180,56,2119,1165,19.994260906591624,1496.2371911766065,1
4,EUN1_3248519284,23,5,0,5,5,8,0,0,0,0,15285,6.2,14659,182,36,-412,996,20.218365756161326,1698.0094537523398,37,5,1,5,5,8,1,0,1,0,14873,6.6,15655,179,60,412,-996,19.885095990949875,1652.2404059966339,0
5,EUN1_3248508611,18,5,1,6,5,5,0,0,0,0,15015,6.2,14974,177,48,-416,-201,19.66113242198492,1667.8638605429583,27,4,0,5,6,5,0,0,0,0,14599,6.0,14773,184,32,416,201,20.438691331328958,1621.654645359084,0
6,EUN1_3247986180,23,1,0,3,4,5,0,0,0,0,14359,6.6,15889,198,48,87,546,21.991977000982974,1594.8626149349218,13,1,1,4,3,3,1,0,1,0,14446,6.4,16435,175,60,-87,-546,19.437353409959698,1604.5257563444445,1
7,EUN1_3247972836,10,5,0,6,5,7,1,0,1,0,15052,6.4,16044,203,44,-756,-570,22.55083658419627,1672.0945431789273,29,1,1,5,6,2,0,0,0,0,14296,6.4,15474,182,48,756,570,20.217991420313897,1588.1121172791618,1
8,EUN1_3247962387,19,2,1,7,7,5,0,0,0,0,14225,6.0,14665,150,40,565,481,16.66095874561493,1580.0142543758159,17,1,0,7,7,6,1,0,1,0,14790,6.2,15146,147,52,-565,-481,16.32773957070263,1642.770532317632,0
9,EUN1_3247947276,14,3,0,1,6,0,0,0,0,0,13236,6.4,15607,197,50,911,125,21.882486235508868,1470.236486361398,29,1,1,6,1,4,0,0,0,0,14147,6.2,15732,173,40,-911,-125,19.216599587528094,1571.429100374335,0
10,EUN1_3247937208,23,3,0,3,5,2,0,0,0,0,14174,6.6,16200,214,60,543,-255,23.77055857110063,1574.4107345176649,43,1,1,5,3,6,1,0,1,0,14717,6.6,15945,195,40,-543,255,21.660088417591695,1634.7257499574202,1
