,matchId,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueEliteMonsters,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redEliteMonsters,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,bluewins
0,EUN1_3250387583,118,4,1,4,3,5,0,0,0,0,14275,6.0,14642,182,43,-8,2314,20.215072076358176,1585.5502960989722,16,2,0,3,4,2,1,1,2,0,14267,7.0,16956,193,72,8,-2314,21.436862146907295,1584.6617215022093,0
1,EUN1_3250345989,15,2,0,7,3,5,0,0,0,0,15212,6.6,16400,179,44,-1397,-893,19.88163577361592,1689.605828984611,16,3,1,3,7,2,0,0,0,0,13815,6.4,15507,183,48,1397,893,20.325918137272144,1534.4402134776756,1
2,EUN1_3250132600,13,0,0,3,2,3,0,0,0,0,13658,6.6,16339,205,50,544,1343,22.768501721520863,1516.9375439635705,10,1,1,2,3,2,0,0,0,0,14202,7.0,17682,205,48,-544,-1343,22.768501721520863,1577.357372922143,0
3,EUN1_3250109344,10,1,1,3,3,0,0,0,0,0,14143,6.8,16677,195,60,541,-111,21.660770123688554,1571.0167787657806,14,3,0,3,3,4,1,0,1,0,14684,6.6,16566,194,60,-541,111,21.54968925125938,1631.1115307499626,1
4,EUN1_3250074417,12,0,0,0,4,0,0,0,0,0,12338,6.0,14162,215,35,2446,2208,23.877215583492514,1370.219004042468,8,0,1,4,0,4,0,0,0,0,14784,6.6,16370,203,50,-2446,-2208,22.54453378348363,1641.8639776109458,0
5,EUN1_3250044599,6,1,0,1,1,1,0,1,1,0,13797,6.4,16176,207,59,174,86,22.998083493042245,1532.8722606449462,13,0,1,1,1,1,1,0,1,0,13971,6.6,16262,201,48,-174,-86,22.331472377301893,1552.2039830014166,1
6,EUN1_3250003845,16,4,1,2,1,1,1,0,1,0,13716,6.4,16134,205,48,292,213,22.769850496493817,1523.4696068776057,14,3,0,1,2,1,0,0,0,0,14008,6.6,16347,242,52,-292,-213,26.879530830007333,1555.9027597799286,1
7,EUN1_3249958844,18,1,0,2,4,3,0,0,0,0,12699,6.0,14529,152,56,2112,1571,16.883948770544915,1410.587272612828,13,1,1,4,2,3,1,0,1,0,14811,6.6,16100,207,45,-2112,-1571,22.993272338834192,1645.1852976351363,0
8,EUN1_3249933374,35,2,0,12,8,8,0,0,0,0,17123,6.8,17897,155,54,-841,-2282,17.217375849760806,1902.0201720997052,35,4,1,8,12,6,0,0,0,0,16282,6.4,15615,175,41,841,2282,19.43897273360091,1808.6020231342288,1
9,EUN1_3249913133,12,4,1,6,8,7,0,0,0,0,15242,6.0,14763,188,44,1846,1142,20.882392144666102,1693.0288354734082,14,3,0,8,6,6,0,0,0,0,17088,6.4,15905,195,47,-1846,-1142,21.659928022393032,1898.0761540853955,0
10,EUN1_3249863344,13,3,1,7,4,6,0,0,0,0,15741,6.4,15738,189,36,-1951,9,20.992069662571918,1748.3395161827755,11,2,0,4,7,2,0,0,0,0,13790,6.4,15747,171,55,1951,-9,18.992824932803163,1531.6436013061734,1
11,EUN1_3249848569,12,1,1,8,7,9,1,0,1,0,17342,6.8,17754,224,48,-2227,-873,24.881009902419787,1926.2789005703748,44,1,0,7,8,6,0,1,1,0,15115,6.4,16881,157,59,2227,873,17.438922119106728,1678.9127887280138,1
12,EUN1_3249835434,14,3,1,4,5,1,0,0,0,0,14174,6.4,15741,190,52,1036,-98,21.106264487414002,1574.5273307610846,17,3,0,5,4,4,1,0,1,0,15210,6.4,15643,192,46,-1036,98,21.328435692544677,1689.6120150187735,1
13,EUN1_3249657413,11,1,1,6,5,4,0,0,0,0,14641,6.4,15433,168,54,-28,766,18.65972110381136,1626.172480243465,13,3,0,5,6,12,1,0,1,0,14613,6.6,16199,185,48,28,-766,20.54790716788751,1623.0625267261632,1
14,EUN1_3249612538,14,1,0,5,8,6,0,0,0,0,14311,6.0,14485,157,40,1520,257,17.44018128901824,1589.7225122747773,15,3,1,8,5,11,1,0,1,0,15831,6.2,14742,162,36,-1520,-257,17.995601075292704,1758.570127302215,0
15,EUN1_3249568057,15,3,1,10,8,14,0,0,0,0,16906,6.0,14395,168,38,-526,-47,18.66089561191261,1877.8636977083013,15,1,0,8,10,15,0,0,0,0,16380,6.0,14348,164,36,526,47,18.21658857353374,1819.4373221614796,0
16,EUN1_3249389649,13,2,0,7,5,6,0,0,0,0,15792,6.6,17139,187,64,-850,-1953,20.770777256554275,1754.0754782647332,10,1,1,5,7,6,0,0,0,0,14942,6.4,15186,175,40,850,1953,19.4378931545294,1659.6628543713045,0
17,EUN1_3249354838,11,4,1,7,7,3,0,0,0,0,14996,6.2,14579,164,52,1119,1725,18.216554849602346,1665.7040031990045,14,2,0,7,7,7,0,0,0,0,16115,6.6,16304,182,60,-1119,-1725,20.215932820900164,1789.9986670813523,0
18,EUN1_3249284164,11,2,0,3,5,2,0,0,0,0,13637,6.4,15646,197,48,1090,503,21.882688793730665,1514.7930308634777,14,3,1,5,3,3,1,0,1,0,14727,6.6,16149,179,64,-1090,-503,19.883255299887256,1635.8698368795508,0
19,EUN1_3250374751,14,3,0,5,8,6,1,0,1,0,13361,6.0,13910,139,48,3707,1900,15.439612417595235,1484.091090010719,12,1,1,8,5,8,0,1,1,0,17068,6.6,15810,189,44,-3707,-1900,20.993429833996398,1895.8511132627013,0
20,EUN1_3250194396,14,4,1,8,6,8,1,0,1,0,15495,6.2,15885,175,36,-913,-729,19.438396943173235,1721.1312036255385,17,2,0,6,8,3,0,0,0,0,14582,6.4,15156,178,48,913,729,19.771626605056202,1619.7183098591547,1
21,EUN1_3245543401,10,2,0,3,2,4,0,0,0,0,13676,6.4,15215,182,48,-39,844,20.215334034329043,1519.0379574367253,16,3,1,2,3,2,0,0,0,0,13637,6.6,16059,173,60,39,-844,19.215674659005078,1514.7061001436546,0
