,matchId,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueEliteMonsters,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redEliteMonsters,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,bluewins
4368,EUN1_3238400590,13,2,0,3,7,4,0,0,0,0,13395,6.4,15695,177,44,-1641,-925,19.6591670584925,1487.7657782401527,11,4,1,7,3,2,1,0,1,0,15036,6.6,16620,193,36,1641,925,21.436266905587868,1670.0295813078717,1
11329,EUN1_3241730972,13,5,0,5,2,5,0,0,0,0,15207,6.4,16134,212,60,1561,36,23.546224274083976,1688.9973232829957,19,2,1,2,5,1,0,0,0,0,13646,6.6,16098,195,47,-1561,-36,21.65808364833196,1515.6215870007072,1
8949,EUN1_3251006906,14,0,0,5,4,9,0,0,0,0,15115,6.6,15768,175,56,676,13,19.43843292907564,1678.9252212741617,12,4,1,4,5,4,1,0,1,0,14439,6.6,15755,179,63,-676,-13,19.88273996745451,1603.837331788132,1
11260,EUN1_3243681711,15,2,1,10,6,8,0,0,0,0,16123,6.4,15870,179,52,1252,-1329,19.880715705765407,1790.7082643801991,14,4,0,6,10,1,0,0,0,0,14871,6.8,17199,174,60,-1252,1329,19.32538845141442,1651.6543198907116,1
7165,EUN1_3249060674,12,4,0,5,6,3,0,1,1,0,15001,6.6,16159,195,40,-1038,-592,21.659486947845068,1666.225454895507,15,4,1,6,5,7,0,0,0,0,16039,6.6,16751,177,52,1038,592,19.660149691120907,1781.520570033267,1
4990,EUN1_3249390463,14,0,0,5,10,5,1,0,1,0,14693,6.4,15798,180,60,-2677,-1697,19.994038814353495,1632.0689572183107,19,1,1,10,5,8,0,0,0,0,17370,6.6,17495,218,44,2677,1697,24.215002564050348,1929.4247455851123,1
11499,EUN1_3232888895,12,2,1,8,5,2,0,0,0,0,15569,6.6,16683,194,44,602,285,21.54885146843204,1729.350868618652,10,3,0,5,8,4,0,0,0,0,14967,6.6,16398,176,44,-602,-285,19.549473497134223,1662.4827831341358,1
5029,EUN1_3250497116,13,0,1,6,2,3,0,0,0,0,15149,6.6,15743,199,56,1729,163,22.105257311489737,1682.776598049035,13,3,0,2,6,3,0,0,0,0,13420,6.2,15580,197,48,-1729,-163,21.883093921424518,1490.7163473376495,1
10038,EUN1_3236146654,12,1,1,8,7,5,0,0,0,0,16260,6.6,16367,191,52,1233,1659,21.21456140838031,1806.014494765779,13,0,0,7,8,12,0,0,0,0,15027,6.2,14708,143,45,-1233,-1659,15.8831533057507,1669.0639491294812,1
13806,EUN1_3251064299,13,3,1,8,6,5,1,0,1,0,16750,7.0,17618,190,72,3683,3756,21.104349902716358,1860.515057213152,16,1,0,6,8,4,0,0,0,0,13067,5.8,13862,117,40,-3683,-3756,12.995836519041122,1451.423895677866,1
435,EUN1_3249150403,13,0,1,5,6,6,0,0,0,0,14334,6.2,15664,180,44,-982,-777,19.99414985985582,1592.2008005065184,33,2,0,6,5,5,0,0,0,0,15316,6.6,16441,190,55,982,777,21.10493596318114,1701.2799958530652,1
13190,EUN1_3234160481,15,1,0,5,1,7,1,1,2,0,14741,6.8,15812,153,64,1631,929,16.994272300817133,1637.337045662388,12,3,1,1,5,2,0,0,0,0,13110,6.2,14883,205,48,-1631,-929,22.770103409591584,1456.175881462174,1
2256,EUN1_3250142159,26,6,0,10,4,9,1,0,1,0,15985,6.6,16078,139,52,1971,899,15.442099533033874,1775.8414462988956,21,0,1,4,10,0,0,0,0,0,14014,6.2,15179,187,56,-1971,-899,20.77462311278658,1556.8746968053,1
10440,EUN1_3251069197,9,2,1,8,8,8,0,0,0,0,15711,6.4,15366,183,48,-949,-1024,20.32674596195677,1745.101124635535,15,1,0,8,8,8,0,0,0,0,16660,6.6,16390,197,56,949,1024,21.88179756560374,1850.51140833989,1
6564,EUN1_3244187757,14,5,1,7,3,5,0,0,0,0,14701,6.2,15141,165,41,153,-426,18.328581478875847,1633.0210686118414,19,2,0,3,7,6,0,0,0,0,14548,6.6,15567,178,55,-153,426,19.77265153478728,1616.025474876884,1
16006,EUN1_3218279703,12,0,1,7,4,7,0,0,0,0,15968,6.4,16164,172,61,933,489,19.104742863489943,1773.6310118849271,16,1,0,4,7,4,1,0,1,0,15035,6.4,15675,224,56,-933,-489,24.88059535710319,1669.998889259136,1
7571,EUN1_3249161322,15,0,0,7,5,3,0,0,0,0,14843,6.8,16895,196,31,845,1439,21.76991641907089,1648.6268847360675,12,3,1,5,7,2,0,0,0,0,13998,6.4,15456,166,51,-845,-1439,18.43778635492739,1554.7718879293589,1
14130,EUN1_3248689207,12,1,1,4,2,2,1,0,1,0,14655,6.6,16683,217,60,1191,966,24.104415440155517,1627.8811441266316,9,1,0,2,4,3,0,0,0,0,13464,6.4,15717,204,53,-1191,-966,22.660372118855875,1495.5845598444878,1
10877,EUN1_3249055450,15,0,0,7,6,8,0,0,0,0,15567,6.6,16508,183,44,318,1004,20.32776202077949,1729.1927397676193,10,0,1,6,7,7,0,0,0,0,15249,6.6,15504,185,48,-318,-1004,20.54992335433992,1693.8690877315105,1
12699,EUN1_3240543893,12,1,1,4,4,4,0,0,0,0,14138,6.4,15613,182,48,-230,-262,20.21537145745053,1570.3567124474484,11,1,0,4,4,3,0,0,0,0,14368,6.4,15875,169,56,230,262,18.77141635334692,1595.9036104431275,1
4223,EUN1_3230273189,16,4,1,6,3,2,0,0,0,0,14919,6.2,15596,182,55,538,-220,20.218515494381585,1657.3628168169168,13,3,0,3,6,3,0,0,0,0,14381,6.4,15816,195,52,-538,220,21.6626951725517,1597.5959962895693,1
