,matchId,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueEliteMonsters,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redEliteMonsters,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,bluewins
22,EUW1_6115141456,11,0,0,1,4,1,0,0,0,0,12876,6.2,15540,192,50,2014,846,21.326658878980467,1430.2190610716277,12,1,1,4,1,4,0,0,0,0,14890,6.6,16386,193,46,-2014,-846,21.437735227308494,1653.9268266042666,0
23,EUW1_6112311661,39,9,1,9,7,7,0,0,0,0,16299,6.4,15343,177,36,-104,988,19.660877630475472,1810.4669180741228,33,1,0,7,9,5,0,1,1,0,16195,6.6,16331,188,44,104,-988,20.882740082086944,1798.9147639861599,1
24,EUW1_6106457788,15,3,1,10,6,12,0,0,0,0,16858,6.4,15475,169,48,-1962,-209,18.77152060424303,1872.486948794846,19,3,0,6,10,4,0,0,0,0,14896,6.6,15266,192,32,1962,209,21.32622459180273,1654.559591247362,0
25,EUW1_6072555368,13,2,0,6,11,10,0,0,0,0,15209,6.2,15296,170,44,3384,1658,18.882979215763957,1689.360181720906,15,2,1,11,6,13,0,0,0,0,18593,6.8,16954,189,61,-3384,-1658,20.993429833996398,2065.2425444629366,0
26,EUW1_6059342520,17,5,1,5,5,4,0,0,0,0,14341,6.2,15004,185,36,1225,1887,20.54996139939683,1593.0107915067565,14,6,0,5,5,6,1,0,1,0,15566,6.6,16891,194,62,-1225,-1887,21.54968925125938,1729.0848602324922,1
27,EUW1_6043884829,12,3,0,5,4,8,0,0,0,0,13730,5.8,13259,152,36,-491,-40,16.884886545411458,1525.1940280822323,17,1,1,4,5,4,0,0,0,0,13239,5.8,13219,158,27,491,40,17.551395224835595,1470.6514011493573,1
28,EUW1_6043519490,14,4,0,2,5,4,0,0,0,0,14551,6.6,16838,204,72,1979,-685,22.66074969313568,1616.3557293373397,17,3,1,5,2,11,0,0,0,0,16530,6.4,16153,221,42,-1979,685,24.549145500896987,1836.1872177820237,1
29,EUW1_6042893756,12,4,1,8,6,6,0,0,0,0,15605,6.8,17070,179,52,628,-1208,19.880789308059683,1733.1827773869907,14,1,0,6,8,5,0,0,0,0,16233,6.6,15862,205,56,-628,1208,22.768501721520863,1802.9321387582838,1
30,EUW1_6039036562,31,2,1,9,6,10,0,0,0,0,17199,6.4,15889,187,56,-1861,-866,20.772892301255077,1910.5506667876261,14,2,0,6,9,9,0,0,0,0,15338,6.2,15023,177,60,1861,866,19.662042445572986,1703.8215086451892,0
31,EUW1_6039024441,14,2,1,3,2,4,0,0,0,0,13877,6.4,15572,201,52,-609,136,22.326552676594517,1541.4207536970252,12,2,0,2,3,2,0,0,0,0,13268,6.4,15708,184,52,609,-136,20.43823727608652,1473.774631408239,1
32,EUW1_6038991440,14,5,0,10,3,14,0,0,0,0,17604,6.8,16919,212,52,-3946,-2229,23.550627368717286,1955.590774523109,17,3,1,3,10,3,1,0,1,0,13658,6.0,14690,180,48,3946,2229,19.995815690420336,1517.2380594431165,0
33,EUW1_6037639975,12,4,0,9,7,17,0,0,0,0,16218,6.0,13747,169,34,-893,589,18.772597931311545,1801.5029186391162,16,4,1,7,9,10,0,0,0,0,15325,6.0,14336,200,55,893,-589,22.216092226404193,1702.3080668482214,1
34,EUW1_6032960767,12,1,1,5,4,3,0,0,0,0,15179,6.4,15520,192,40,-1096,-1089,21.326540435268768,1686.0185274320033,12,3,0,4,5,7,1,0,1,0,14083,6.0,14431,168,59,1096,1089,18.66072288086017,1564.2795257806774,1
35,EUW1_6029911189,12,2,0,5,7,7,0,0,0,0,15660,6.2,15738,203,44,330,-53,22.550920088648446,1739.6424068385945,14,3,1,7,5,7,1,0,1,0,15990,6.2,15685,179,43,-330,53,19.884801457478186,1776.3015380171855,1
36,EUW1_6023188242,12,1,1,8,3,9,0,0,0,0,16778,6.6,15642,181,48,-3112,-1125,20.10630793754825,1863.7769866087544,8,3,0,3,8,2,0,1,1,0,13666,6.0,14517,157,52,3112,1125,17.440278155773896,1518.0817915720133,1
37,EUW1_6023192097,12,1,0,7,11,5,0,0,0,0,16790,6.6,16016,214,46,923,792,23.770514564994027,1864.985698814251,11,2,1,11,7,15,1,0,1,0,17713,6.6,16808,193,57,-923,-792,21.437893976840407,1967.509927522146,0
38,EUW1_6023149913,12,1,0,5,8,3,0,0,0,0,14848,6.6,16292,193,44,753,-314,21.438965597680593,1649.356275618453,11,2,1,8,5,13,1,0,1,0,15601,6.2,15978,182,60,-753,314,20.217055641336103,1733.0015662663986,0
39,EUW1_6023158333,13,0,1,3,4,3,0,0,0,0,14235,6.2,15683,204,42,152,529,22.662134239818705,1581.3503965873492,15,5,0,4,3,7,0,0,0,0,14387,6.8,16212,188,62,-152,-529,20.88471194649959,1598.2359083738809,0
40,EUW1_6106638316,46,5,0,2,1,3,0,0,0,0,14198,6.4,16265,207,55,-619,-1368,22.99340004258037,1577.1028686210439,13,2,1,1,2,0,0,1,1,0,13579,6.2,14897,201,51,619,1368,22.326924679027314,1508.3448269478204,1
41,EUW1_6101605969,16,5,0,0,5,0,0,0,0,0,12445,6.2,14894,199,32,4681,572,22.104111475810438,1382.3400367661352,19,3,1,5,0,8,0,1,1,1,17126,6.4,15466,177,74,-4681,-572,19.660440860394207,1902.28649816447,0
42,EUW1_6101582505,12,3,1,6,2,9,0,0,0,0,16188,7.0,17531,215,54,-2110,-2168,23.88000022213954,1797.9974120743946,12,3,0,2,6,4,0,1,1,0,14078,6.4,15363,181,48,2110,2168,20.10362809398724,1563.640200592002,1
43,EUW1_6096467567,32,4,0,5,9,3,0,0,0,0,15068,6.6,16329,185,48,1934,-990,20.549352695390095,1673.717007643989,38,4,1,9,5,18,0,1,1,0,17002,6.2,15339,180,51,-1934,990,19.993964784703877,1888.5410514974185,0
44,EUW1_6096493332,12,1,1,6,3,6,0,0,0,0,15956,6.8,17219,214,39,-1802,-1006,23.77209888748799,1772.4654665829828,16,3,0,3,6,4,0,0,0,0,14154,6.6,16213,219,42,1802,1006,24.327521758690978,1572.2910638014253,1
45,EUW1_6096378861,14,2,1,6,5,11,0,0,0,0,15986,6.6,16538,213,57,-48,-74,23.66022582741365,1775.7388266527446,14,3,0,5,6,10,1,1,2,0,15938,6.4,16464,219,54,48,74,24.326711061988682,1770.4069447761444,0
46,EUW1_6092459544,15,2,0,11,6,13,0,0,0,0,17193,6.4,16547,184,44,-1770,-2558,20.43717789230496,1909.6543451217347,11,4,1,6,11,8,1,0,1,0,15423,6.0,13989,186,44,1770,2558,20.659321130264797,1713.0575795272794,1
47,EUW1_6086170121,10,0,0,1,7,2,0,0,0,0,13150,6.4,15491,210,52,3159,1180,23.32594678351855,1460.6485723965188,9,3,1,7,1,13,1,0,1,0,16309,6.8,16671,192,72,-3159,-1180,21.32657991635982,1811.5374575828764,0
