,matchId,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueEliteMonsters,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redEliteMonsters,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,bluewins
0,EUN1_3234533189,10,1,0,4,10,3,0,0,0,0,13221,5.8,14383,175,32,3025,1252,19.43774921971321,1468.494185336162,13,4,1,10,4,9,1,0,1,0,16246,6.4,15635,162,51,-3025,-1252,17.99380213482023,1804.4895647054905,0
1,EUN1_3233918328,10,1,0,7,3,10,0,0,0,0,16387,6.8,17417,198,52,-2045,-1617,21.9932798311627,1820.2215989558745,9,0,1,3,7,3,0,0,0,0,14342,6.6,15800,214,48,2045,1617,23.770514564994027,1593.0687845380578,1
2,EUN1_3233392105,52,3,0,4,8,3,0,0,0,0,14313,6.6,16444,204,60,2509,529,22.659365315620523,1589.8210576591987,13,1,1,8,4,9,1,0,1,0,16822,6.6,16973,219,48,-2509,-529,24.325495118239676,1868.5090359772962,0
3,EUN1_3232812367,35,3,1,6,7,2,0,0,0,0,15521,6.6,16921,219,48,159,-586,24.32657595112469,1724.0766453762844,10,13,0,7,6,7,0,0,0,0,15680,6.6,16335,205,40,-159,586,22.771452374340463,1741.738405998334,1
4,EUN1_3232075130,15,5,1,4,1,4,1,1,2,0,14821,6.4,16002,224,52,-2332,-1686,24.88105596386323,1646.2595108947182,14,3,0,1,4,1,0,0,0,0,12489,6.0,14316,199,32,2332,1686,22.10415239646778,1387.2299461280709,1
5,EUN1_3231131240,13,2,0,5,3,5,0,0,0,0,14999,6.4,16462,195,52,-1200,-663,21.661050838671457,1666.1235975858112,10,0,1,3,5,3,1,0,1,0,13799,6.6,15799,192,60,1200,663,21.327803902691898,1532.824823193987,1
6,EUN1_3230575460,31,1,1,3,6,3,0,0,0,0,13689,6.2,15086,172,44,3471,1193,19.10559171794815,1520.5607269011175,36,1,0,6,3,10,1,0,1,0,17160,6.4,16279,207,50,-3471,-1193,22.993357474507366,1906.116010930176,0
7,EUN1_3230085480,16,1,1,4,4,3,1,0,1,0,14498,6.0,15341,188,56,-510,359,20.88130974683263,1610.3044080296781,13,1,0,4,4,4,0,0,0,0,13988,6.4,15700,207,44,510,-359,22.991654880821034,1553.6583018015683,1
8,EUN1_3229426447,17,0,0,6,8,4,0,0,0,0,15380,6.8,17026,181,54,75,-784,20.1035908789675,1708.2498768979012,13,6,1,8,6,9,0,0,0,0,15455,6.4,16242,193,36,-75,784,21.43642563337418,1716.580094112943,1
9,EUN1_3228922973,14,4,1,3,3,2,0,1,1,0,14417,6.2,16123,203,63,-300,676,22.548957897504064,1601.4203251641186,13,5,0,3,3,1,0,0,0,0,14117,6.6,16799,195,53,300,-676,21.660329014843803,1568.096742064359,1
